2026-03-21 01:27:04.664827 - admin - Inserted row into recipe
2026-03-21 03:53:20.295760 | admin | Login
2026-03-21 04:02:02.919104 | admin | Login
2026-03-21 04:03:58.002434 | admin | Logout
2026-03-21 04:04:06.129574 | user1 | Login
2026-03-21 04:04:31.592567 | riya | Login
2026-03-21 04:06:30.022295 | riya | Logout
2026-03-21 04:06:36.589806 | admin | Login
2026-03-21 04:11:17.116338 | admin | Logout
2026-03-21 04:11:23.612804 | riya | Login
2026-03-21 04:19:54.740885 | admin | Login
2026-03-21 04:22:12.904444 | admin | Logout
2026-03-21 04:22:21.218943 | riya | Login
2026-03-21 04:34:13.099857 | admin | Login
2026-03-21 04:35:48.784907 | admin | Logout
2026-03-21 04:35:56.033524 | riya | Login
2026-03-21 04:37:17.177111 | riya | Logout
2026-03-21 04:41:32.668672 | verma | Login
2026-03-21 04:42:03.843158 | verma | Logout
2026-03-21 04:42:28.841518 | riya | Login
2026-03-21 04:42:41.827745 | riya | Logout
2026-03-21 20:10:52.794744 | admin | Login
2026-03-21 20:13:11.567172 | admin | Logout
2026-03-21 20:15:00.873946 | lost | New signup: lost (Student)
2026-03-21 20:15:45.094829 | riya | Login
2026-03-21 20:15:48.786989 | riya | Logout
2026-03-21 20:15:56.099221 | lost | Login
2026-03-21 20:16:36.605459 | lost | Logout
2026-03-21 20:26:02.405913 | admin | Login
2026-03-21 20:26:39.360575 | admin | Logout
2026-03-21 21:44:50.481984 | admin | Login
2026-03-21 21:45:24.748484 | admin | Logout
